# cosmological_parameters--omega_m	cosmological_parameters--h0	cosmological_parameters--omega_b	cosmological_parameters--n_s	cosmological_parameters--a_s	cosmological_parameters--omega_k	cosmological_parameters--tau	weight	post
# sampler=weighted_metropolis
5.120639999999999636e-01 5.172484999999999999e-01 8.582034146366694649e-02 9.808556000000000497e-01 2.062368999999999871e-09 -6.075784000000000046e-02 5.464925999999999812e-02 4.000000000000000000e+00 -5.638510000000000218e+03
6.571021000000000223e-01 4.616821000000000397e-01 1.078637157473004010e-01 9.762585999999999764e-01 2.035775000000000241e-09 -9.320315999999999323e-02 4.083061000000000329e-02 1.000000000000000000e+00 -5.634618999999999687e+03
5.521213000000000370e-01 5.020141999999999660e-01 9.059847596617343068e-02 9.777052999999999994e-01 2.118064000000000059e-09 -6.698179999999999412e-02 6.776313999999999949e-02 2.000000000000000000e+00 -5.639859999999999673e+03
6.781970000000000498e-01 4.540404999999999580e-01 1.104373682541623797e-01 9.762271999999999617e-01 1.999659000000000198e-09 -9.929385000000000294e-02 3.625421999999999673e-02 1.000000000000000000e+00 -5.637298999999999978e+03
5.827908000000000532e-01 4.885864000000000318e-01 9.415735388338009049e-02 9.770537000000000249e-01 1.979221999999999930e-09 -7.336180999999999952e-02 2.908474000000000129e-02 2.000000000000000000e+00 -5.637470999999999549e+03
6.536520999999999582e-01 4.623413000000000106e-01 1.061530475545274521e-01 9.726468999999999809e-01 1.984850999999999725e-09 -9.195412000000000030e-02 2.893607000000000123e-02 2.000000000000000000e+00 -5.638203000000000429e+03
5.157760000000000122e-01 5.257201999999999709e-01 8.328137358884696306e-02 9.657738999999999630e-01 2.121611999999999890e-09 -5.141735000000000055e-02 5.626037999999999872e-02 4.000000000000000000e+00 -5.646261000000000422e+03
5.867573000000000372e-01 4.942992999999999970e-01 9.163424566534637827e-02 9.625892000000000337e-01 1.972498000000000151e-09 -6.527061000000000668e-02 2.180351999999999985e-02 3.000000000000000000e+00 -5.637380000000000109e+03
4.087971000000000243e-01 5.867797999999999625e-01 6.522550954060486739e-02 9.734838000000000102e-01 2.205293999999999974e-09 -2.576337999999999892e-02 7.596321999999999797e-02 3.000000000000000000e+00 -5.636448000000000320e+03
5.742032999999999721e-01 4.923217999999999761e-01 9.278492437532856463e-02 9.724846000000000323e-01 2.077787999999999898e-09 -7.006969999999999865e-02 4.987711999999999701e-02 5.000000000000000000e+00 -5.643431999999999789e+03
