#cosmological_parameters--omega_m  cosmological_parameters--hubble cosmological_parameters--ombh2 cosmological_parameters--tau cosmological_parameters--n_s cosmological_parameters--A_s like
3.255359E-01 6.652100E+01 2.208744E-02 7.327231E-02 9.591049E-01 2.1785e-09 6.481029E+03
3.247395E-01 6.668701E+01 2.221204E-02 6.691851E-02 9.559154E-01 2.14225e-09 6.487131E+03
3.118583E-01 6.767334E+01 2.256546E-02 6.724138E-02 9.688801E-01 2.14031e-09 6.484215E+03
3.085006E-01 6.791748E+01 2.260813E-02 5.464249E-02 9.636553E-01 2.10594e-09 6.485743E+03
3.142739E-01 6.733154E+01 2.223336E-02 7.373747E-02 9.678167E-01 2.17385e-09 6.486695E+03
3.265013E-01 6.649658E+01 2.217758E-02 6.715099E-02 9.595200E-01 2.16159e-09 6.480991E+03
3.279033E-01 6.628174E+01 2.196922E-02 7.405277E-02 9.608259E-01 2.17807e-09 6.488647E+03
3.238726E-01 6.661865E+01 2.210964E-02 3.465535E-02 9.632237E-01 2.02903e-09 6.488458E+03
3.216536E-01 6.690186E+01 2.219341E-02 5.620894E-02 9.630949E-01 2.12781e-09 6.479391E+03
3.174257E-01 6.710205E+01 2.224002E-02 6.578148E-02 9.563780E-01 2.14782e-09 6.482194E+03
3.206408E-01 6.693604E+01 2.234727E-02 4.722150E-02 9.617579E-01 2.07062e-09 6.478470E+03
3.201306E-01 6.690186E+01 2.205231E-02 4.769940E-02 9.609250E-01 2.10119e-09 6.487297E+03
3.063916E-01 6.793701E+01 2.238105E-02 6.884065E-02 9.675465E-01 2.17742e-09 6.493019E+03
3.348877E-01 6.603271E+01 2.214366E-02 3.584435E-02 9.569533E-01 2.03754e-09 6.490196E+03
3.215578E-01 6.686279E+01 2.223142E-02 7.446104E-02 9.645000E-01 2.16909e-09 6.481662E+03
3.256849E-01 6.648682E+01 2.207863E-02 9.615837E-02 9.686485E-01 2.27734e-09 6.486331E+03
3.203756E-01 6.690674E+01 2.215540E-02 9.231224E-02 9.696265E-01 2.26822e-09 6.483241E+03
3.292403E-01 6.623291E+01 2.200017E-02 6.858155E-02 9.655239E-01 2.17931e-09 6.484708E+03
3.238897E-01 6.674561E+01 2.221469E-02 4.891346E-02 9.578636E-01 2.086e-09 6.484168E+03
3.269976E-01 6.641846E+01 2.197194E-02 3.561211E-02 9.578072E-01 2.03432e-09 6.479487E+03
3.183425E-01 6.707275E+01 2.229888E-02 6.881484E-02 9.638560E-01 2.1575e-09 6.486051E+03
3.186874E-01 6.713135E+01 2.230068E-02 7.218965E-02 9.611705E-01 2.17474e-09 6.481828E+03
3.135929E-01 6.747314E+01 2.233930E-02 4.859219E-02 9.651977E-01 2.08049e-09 6.482850E+03
